101,60,2023-12-11,sale
102,15,2023-12-01,purchase
104,10,2023-11-30,purchase
106,8,2023-11-29,purchase
108,25,2023-11-28,purchase
110,5,2023-11-27,purchase
102,20,2023-11-26,purchase
104,15,2023-11-25,purchase
106,25,2023-11-24,purchase
108,18,2023-11-23,purchase
110,30,2023-11-22,purchase
102,12,2023-11-21,purchase
104,30,2023-11-20,purchase
106,40,2023-11-19,purchase
108,50,2023-11-18,purchase
110,35,2023-11-17,purchase
102,20,2023-11-16,purchase
104,15,2023-11-15,purchase
106,22,2023-11-14,purchase
108,28,2023-11-13,purchase
110,18,2023-11-12,purchase
102,10,2023-11-11,purchase
104,8,2023-11-10,purchase
106,14,2023-11-09,purchase
108,22,2023-11-08,purchase
110,10,2023-11-07,purchase
102,12,2023-11-06,purchase
104,25,2023-11-05,purchase
106,30,2023-11-04,purchase
108,35,2023-11-03,purchase
110,20,2023-11-02,purchase
102,30,2023-11-01,purchase
104,25,2023-10-31,purchase
106,18,2023-10-30,purchase
108,20,2023-10-29,purchase
110,28,2023-10-28,purchase
102,22,2023-10-27,purchase
104,19,2023-10-26,purchase
106,27,2023-10-25,purchase
108,21,2023-10-24,purchase
110,28,2023-10-23,purchase
104,10,2023-12-12,sale
105,6,2023-12-12,sale
110,20,2023-12-13,purchase
101,30,2023-12-01,sale
103,20,2023-11-30,sale
102,25,2023-12-14,purchase
105,10,2023-11-29,sale
107,18,2023-11-28,sale
109,8,2023-11-27,sale
108,12,2023-12-17,purchase
101,22,2023-11-26,sale
103,13,2023-11-25,sale
105,14,2023-11-24,sale
107,5,2023-11-23,sale
109,11,2023-11-22,sale
101,25,2023-11-21,sale
103,35,2023-11-20,sale
106,20,2023-12-21,purchase
105,45,2023-11-19,sale
107,55,2023-11-18,sale
109,40,2023-11-17,sale
101,18,2023-11-16,sale
103,10,2023-11-15,sale
105,22,2023-11-14,sale
107,25,2023-11-13,sale
109,35,2023-11-12,sale
101,15,2023-11-11,sale
103,8,2023-11-10,sale
105,17,2023-11-09,sale
107,29,2023-11-08,sale
109,19,2023-11-07,sale
101,21,2023-11-06,sale
103,14,2023-11-05,sale
105,26,2023-11-04,sale
107,31,2023-11-03,sale
109,24,2023-11-02,sale
101,33,2023-11-01,sale
103,28,2023-10-31,sale
105,19,2023-10-30,sale
107,40,2023-10-29,sale
109,35,2023-10-28,sale
101,24,2023-10-27,sale
103,19,2023-10-26,sale
105,27,2023-10-25,sale
107,22,2023-10-24,sale
109,30,2023-10-23,sale
101,10,2023-12-14,purchase
145,10,2023-12-15,purchase
